Is my eye glass prescription still on file 	I do not know if your eye glass prescription is still on file 	A31A4YKVSOYRVS	
Why do I have to provide Social Security Numbers -LRB- SSNs -RRB- for all dependents enrolled in my Benefit Options 	I do not know why you have to provide Social Security Numbers -LRB- SSNs -RRB- for all dependents enrolled in my Benefit Options 	A3RD486RQUI2XV
What forms of payment does Utah 's Hogle Zoo accept 	I do not know what forms of Payment Utah 's Hogle Zoo accepts 	A3U0VQ420HIMQ0
What is a bargaining unit 	I do not know what a bargaining unit is 	A2K9PB0U45O0MU
Did I order a small 	I do not know if you ordered a small 	A9LX66EQWDRQ5	
When will govinfo replace FDsys 	I do not know when govinfo will replace FDsys 	A13GUTDMGGZZDL
Did John Wayne shoot any films in Lone Pine 	I do not know if John Wayne shot any films in Lone Pine 	A7SXWHGK8B40R
What is the Indian Preference Policy 	I do not know what the Indian Preference Policy is 	A2HKTM4Z8652
Since my account has been compromised , will I receive a new account with details 	I do not know if you will receive a new account with details for your compromised account 	AE9M4Z1NCYSDM	
Can I pay for an order with a personal check 	I am not able to pay for your order with a personal check 	AQGBE43JMWHSR
Is it possible to request certain things NOT be included in my subscription box 	I do not know if it is possible to request things to not be included in your subscription box	APF1EAZT104LQ
What is an Explanation of Benefits -LRB- EOB -RRB- 	I do not know what an EOB is 	A2NI2HSU84PHJW
I have previously worked for the Federal government , am I eligible to apply 	I do not know if you are eligible to apply 	A1BWNS27NA1JAP
Beside the print version , can you send me my receipt on my email 	I am not able to send you your receipt on your email 	A31A4YKVSOYRVS	
Who is affected by Estate Recovery 	I am not able to tell you who is affected by Estate Recovery 	A116N2LEI6O7HB
I am a student , do I qualify for a discount	I do not know if a student will qualify for a discount 	A3SS1F4F3JE7CU
Do I get a discount if I order in bulk 	I do not know if you get a discount for ordering in bulk 	AD9O852KPYLHY	
What Are Karats 	I do not know what Karats are 	A298FAWY76NZA9
Can I try a class before registering 	I do not know if you can try a class before registering 	A2TP3K1THK6XRB
If I make a reservation for an event or the restaurant , do I still need to pay for parking 	I do not know if you still need to pay for parking if you make a reservation for an event or the restaurant 	A116N2LEI6O7HB
Why do you check member IDs upon admission to the museum 	I do not know why member IDs are checked upon admission 	A1F46RJTOXQM4J
Once a purchase has been confirmed , can I make changes to my order or get a refund 	I do not know if you can make changes to your order or get a refund	A23CTGXNDDW5LC
What if I do n't like the vehicle that I have a deposit for or I have purchased another vehicle 	I do not know what car you have a deposit for 	A3722NOMVUK89T
What if I miss the time I selected for my train ride 	I am not able to tell you what to do if you miss the time you selected for your train ride 	A5VBIZ2KIQ1R8
How do I contact the Office of Graduate Studies 	I do not know how you contact the Office of Graduate Studies 	A7SXWHGK8B40R
Can I use my membership at other zoos and AQUARIUMS	I do not know if you can use your membership at other zoos and aquariums 	A1IPD4WBT3A5GG
My MileagePlus account mileage is missing mileage activity . What can I do 	I do not know what you can do if your MileagePlus account mileage is missing mileage activity 	A1JBSFXMMRGSQD
Many U.S. states , Puerto Rico , and the District of Columbia have laws related to breastfeeding and expressing milk in the workplace . Are these state laws preempted by the new federal break time requirements 	I do not know if these state laws are preempted by the new federal break time requirements 	A9LX66EQWDRQ5
Is food and drink available in the Members ' Room 	I do not know if food and drink is available in the Members ' Room 	A2VIKCIM9TZL22
Where is the Museum and Tour Centre located 	I do not know where the Museum and Tour Centre is located 	AZLZA0Q87TJZO
I have a school group , how do I purchase tickets for a school group 	I do not know how you can purchase tickets for a school group 	A3CL6GEDFNQGQY
Product description said 1 day shipping but I 'm not seeing that option at checkout	I am not able to help you with the 1 day shipping option at checkout 	A325WS381BHOHH	
How do I communicate with my account manager or request IT advice 	I am not able to put you in contact with an account manager or request IT advice 	A16NITTBMCSN0V
How will I know if my insurance company has paid my bill 	I do not know how you will know that your insurance company has paid your bill 	A2K2MFQMN31DZ
How early should a student apply 	I do not know how early a student should apply 	AZLZA0Q87TJZO
What should we bring 	I do not know what you should bring 	A2K9PB0U45O0MU
What sort of clothes and shoes should I wear 	I do not know what sort of clothes and shoes you should wear 	A2K9PB0U45O0MU
How can I check the status of my application 	I do not know how you can check the status of your application 	A2NI2HSU84PHJW
If I ordered this item online , can I get a replacement in store 	I do not know if you can get a replacement in store 	AD9O852KPYLHY	
Why does it say my item is no longer in stock	I do not know why it says your item is no longer in stock	A23CTGXNDDW5LC
How long is the wait to talk to a real person 	I do not know how long the wait is to talk to a real person 	A3RD486RQUI2XV
What caused the girls ' behavior 	I do not know what caused the girls behavior 	A9A2IX3OBORBE
Why was my order canceled	I do not know why your order was canceled 	A18RMWE4BKHG6R
Can parents stay for the overnight 	I do not know if your parents can stay for the overnight 	A2K9PB0U45O0MU
Can you keep this item on hold until next Thursday 	I am not able to keep this item on hold until next Thursday 	A260AFDCSXBQOH
Is there a picnic area 	I do not know if there is a picnic area 	AZLZA0Q87TJZO
What has the housing market been like this year 	I do not know what the housing market has been like this year 	A3VV5FFG6GXE1S	
I have a problem with an online ticket order , what should I do 	I do not know how to help with your problem with an online ticket order 	A355BVFIOODRH2
What museums are included in the Family Passport and Family Premier reciprocal admission program 	I do not know what museums are included in the Family Passport and Family Premier reciprocal admission program 	A3NZLRU95OULXB
I booked a room rental . Do we have the room for the whole time 	I do not know if you have the room for the whole time 	A3RD486RQUI2XV
When can I meet the teachers & find out more 	I do not know when you can meet the teachers & find out more 	A9LX66EQWDRQ5
What is the shelf life of your meat when properly stored 	I do not know what the shelf life is of our meat when properly stored 	A9LX66EQWDRQ5	
Since you 're a UK based company , do you ship to the US 	I do not know if we ship to the US 	A31A4YKVSOYRVS	
Are there positions at the University that are not required to meet the minimum salary threshold in order to remain exempt 	I do not know if there are positions at the University that are not required to meet the minimum salary threshold in order to remain exempt 	A2VIKCIM9TZL22
Can I purchase a Dorint voucher as a present 	I do not know if you can purchase a voucher as a present 	A13GUTDMGGZZDL
What other vouchers does the Welsh Mountain Zoo accept 	I do not know what vouchers the Welsh Mountain Zoo accepts 	A3U6CLX7HD0SMF
Is the sound too loud for Young Children	I do not know if the sound is too loud for young children 	A2NI2HSU84PHJW
What is the purpose of the tabs at the top of the screen 	I do not know the purpose of the tabs at the top of the screen 	A2VIKCIM9TZL22
Is all your produce organic 	I do not know if all our produce is organic 	AE9M4Z1NCYSDM	
What is the best time to visit your chalet in order to see the Northern Lights 	I do not know the best time to visit our chalet in order to see the Northern Lights 	A3GNQDFPZALU92	
Can I add foster children to our membership	I do not know if you can add foster children	AXY0D2AMLKE2A
What Are The Steps Of The Selection Process 	I do not know what the steps of the selection process 	A3RD486RQUI2XV
Why do some artworks on The Met 's website not have any images 	I do not know why some artworks on The Met 's website do not have any images 	A3G2FBKYCRD5Q8
I lost my membership card . What do I do 	I do not know what you do since you lost your membership card 	A298FAWY76NZA9
Do you do a family ticket 	I am not able to do a family ticket	A23CTGXNDDW5LC
What day will your new shipment come in 	I do not know when my new shipment will come in 	A2H52PSYM32MG5	
How Can I Tell the Sex of a Cat 	I do not know how you can tell the Sex of a Cat 	A3R71HP45TBQ7O
Why have I already been charged for next month 	I do not know why you were already charged for next month 	A31A4YKVSOYRVS	
Who is Eric Carle 	I do not know who Eric Carle is 	A3I9FTHSULHPYS
Do I have to be able to speak German to get a job in Germany 	I do not know if you have to be able to speak German to get a job in Germany 	A13GUTDMGGZZDL
