Do you know how long before my order ships 	I do not know how long before your order ships	A23CTGXNDDW5LC	
Does an employer have to pay its employees overtime if they work the night shift or the graveyard shift 	I do not know if an employer has to pay its employees overtime if they work the night shift or the graveyard shift ,	A3U0VQ420HIMQ0
What is XFINITY WiFi 	I am not able to tell you what Xfinity WiFi is 	APF1EAZT104LQ
Can I use my debit card for the transaction 	I do not know if you can use your debit card for the transaction 	A9LX66EQWDRQ5	
Are there ways to save on my admission cost 	I do not know if there are ways to save on your admission cost	A23CTGXNDDW5LC
When should I first try nursing my baby 	I do not know when you should first attempt nursing your baby 	A16NITTBMCSN0V
How many campers are in a group 	I do not know how many campers are in a group 	A2NI2HSU84PHJW
Can I clean my Staub products in the dishwasher 	I do not know if you can clean your Staub products in the dishwasher 	A3P1SDBXCNU6C
I would like to know what your refund policy is 	I do not know what our refund policy is 	AMYD8PNSBQ7C2
What are the benefits of getting the card 	I do not know the benefits of getting the card 	A2K9PB0U45O0MU
Please reverse yesterday 's charge 	I am not able to reverse yesterday 's charge	A23CTGXNDDW5LC	
How do I upgrade my device in the My Verizon app 	I do not know how to upgrade your device in the My Verizon app 	A2K9PB0U45O0MU
Do I have to sign a contract to have your service 	I do not know if you have to sign a contract to have our service 	ASFR82SJYMGNU
Can you please help me update my mailing address on my account 	I do not know how to update your mailing address on your account 	A3RD486RQUI2XV
Can I sit in the exit row 	I do not know if you can sit in the exit row 	A1X3SF2W1QQBY1
Does my child need a separate visa to travel with me 	I do not know if your child needs a separate visa to travel with you 	AZLZA0Q87TJZO
I have only 15 children , but each of them has 1 parent -LRB- a maximum of 30 people total in the group -RRB- . Can they all participate without the parents paying extra admission 	I do not know if they can all participate without the parents paying extra admission 	A13GUTDMGGZZDL
What extra fees will I have to pay if I decide to purchase the car 	I do not know the extra fees you will have to pay if you decide to purchase the car 	A2K9PB0U45O0MU
Do you have any discounts available 	I do not know if we have any discounts available 	A325WS381BHOHH	
Can I delay the shipment so it arrives closer to Christmas 	I do not know if you can delay the shipment so it arrives closer to Christmas 	A2IXBTOWQRCLPZ	
When will my magic bands ship 	I do not know when your magic bands ship 	AD9O852KPYLHY	
I 'm having trouble opening some of the attachments/links on the website 	I am not able to help you open some of the attachments/links on the website 	A1JBSFXMMRGSQD
IS AIRFARE INCLUDED IN THE PACKAGE PRICING	I do not know if airfare is included in the package pricing 	A1X3SF2W1QQBY1
Is there an option to renegotiate the terms of our mortgage loan 	I do not know if there is an option to renegotiate the terms of your mortgage loan 	A31A4YKVSOYRVS	
What do I need to know to be prepared for a tsunami 	I do not know what you need to know to be prepared for a tsunami 	A3B2YRXL26RPVH
What if I have trouble using your online ticketing 	I do not know what you should do if you have trouble using our online ticketing 	A2VIKCIM9TZL22
How do we determine ' primary duty ' 	I do not know how you determine primary duty	APF1EAZT104LQ
Do you offer free installation with the purchase of appliances 	I do not know if we offer free installation with the purchase of appliances 	AE9M4Z1NCYSDM	
Can I choose extra special equipment with my reservation 	I do not know if you can choose extra special equipment with your reservation 	A9LX66EQWDRQ5
Is there a membership fee 	I do not know if there is a membership fee 	APC99TPURUHR8
I would like to deactivate my account 	I am not able to deactivate your account 	AMELZJ4P3IIJH
How are health plan identifiers -LRB- HPIDs -RRB- handled for wrap plans 	I do not know how health plan identifiers -LRB- HPIDs -RRB- are handled for wrap plans 	A2ZBJWQ9ZZHYYI
What specials are you running right now for family 's 	I am not able to tell you the specials	APF1EAZT104LQ
Do I need to purchase extra insurance 	I do not know if you need extra insurance	APF1EAZT104LQ	
I receive personal information from someone who applies for financing for the purchase of a car . After processing the application , I decide not to accept the application for credit . I have no plans to share this person 's information , other than as required by law . Do I have to give this individual a privacy notice 	I do not know if you have to give this individual a privacy notice 	A1XNCA1SVTT15B
How old do I need to be to volunteer 	I do not know how old you need to be to volunteer 	A1AF392CLGHH0X
How do I check on my order 	I do not know how to check on your order 	A9LX66EQWDRQ5	
How long should we plan on visiting 	I do not know how long you should plan on visiting 	A7SXWHGK8B40R
I need to avoid gluten . What can I eat 	I do not know what you can eat if you need to avoid gluten 	A3RD486RQUI2XV
What is Cinépolis Junior	I do not know what Cinepolis Junior is 	A1XNCA1SVTT15B
Do I need to show my credit card to the driver 	I do not know if you need to show your credit card to the driver 	AD9O852KPYLHY	
Will the zoo accept an animal I can not care for	I do not know if the zoo will accept an animal 	A13GUTDMGGZZDL
hat do I need to become a certified user 	I do not know what you need to become a certified user 	A3R71HP45TBQ7O
What 's involved with financing or leasing a new vehicle 	I do not know what 's involved with financing or leasing a new vehicle	A23CTGXNDDW5LC
What if we do n't want anything too difficult , fancy or choreographed 	I am not able to help you if you do n't want anything too difficult , fancy or choreographed 	A7SXWHGK8B40R
How does a group plan its visit 	I do not know How a group plans its visit	ATQD23E8ESFSI
How come my promo code does not work 	I do not know why your promo code does n't work 	A2NI2HSU84PHJW
Please tell me my balance due 	I do not know your balance due 	A1YKWG46AWMPUX	
What happens with a delayed arrival time 	I do not know what happens with a delayed arrival time 	A2VIKCIM9TZL22
Could you please help me create an online account 	I am not able to help you create an online account 	A9LX66EQWDRQ5	
Can registered domestic partners file federal tax returns using a married filing jointly or married filing separately status 	I do not know if registered domestic partners file federal tax returns using a married filing jointly or married filing separately status 	A8O98QNRG9SHV
Do you rent studio space for rehearsals 	I do not know if we rent studio space for rehearsals 	A2K2MFQMN31DZ
Can I import alcohol beverages -LRB- such as rum -RRB- made in Cuba into the United States 	I do not know how you can import alcohol beverages -LRB- such as rum -RRB- made in Cuba into the United States 	A2K9PB0U45O0MU
Can I make an appointment to tour your wedding venue 	I am not able to make an appointment to tour our wedding venue 	A2EAJXBORHT44T	
How soon will my order be shipped 	I do not know how soon your product will be shipped 	A2CEGV4ZIZWRKY	
Can I make a restaurant reservation over the phone 	I do not know if you can make a restaurant reservation over the phone 	A8F4B0854KTXO	
Is there a list of collection works presently on view at the Museum 	I do not know if there is a list of collection works presently on view at the Museum 	A3SS1F4F3JE7CU
Is there a restaurant or café at the AD&A Museum 	I do not know if there is a restaurant or cafe at the AD&A Museum 	A1A0PNOBFTTHGP
When did the Museum open 	I do not know when the Museum opened 	A2VIKCIM9TZL22
Can I name my galaxies 	I do not know IF YOU name my galaxieS	ATQD23E8ESFSI
Are there minibars in the rooms 	I do not know if there are minibars 	A325WS381BHOHH
I think I 'm eligible to buy my Rock Hall admission tickets at a discount . How can I do that 	I do not know how to do that 	A2NI2HSU84PHJW
What is the thin black line across the image 	I do not know what the thin black line across the image is 	A3U0VQ420HIMQ0
What is Intel ® Threading Building Blocks -LRB- Intel ® TBB -RRB- 	I do not know what Intel ® Threading Building Blocks -LRB- Intel ® TBB -RRB- is 	ABWW1P7GZ4C0Z
How does it help me find the right candidates 	I do not know how does it help you find the right candidates 	A3SS1F4F3JE7CU
When will you get this item back in stock 	I do not know when this item will be back in stock 	AD9O852KPYLHY	
Does the lawn pass include access to MYSTERYLAND USA	I do not know if the lawn pass includes access to mysteryland usa 	A2K9PB0U45O0MU
Where can I purchase this specific product besides online 	I do not know where you can purchase that specific product besides online	AYJGJAIY0EXW
How long does it take to update my payment information 	I do not know how long it takes to update your payment information 	A185P3B2MC2K83
Why is it important to separate Federal Reserve monetary policy decisions from political influence 	I do not know why it is important to separate Federal Reserve monetary policy decisions from political influence 	A1J0GU26323WVA
I need to close my account 	I am not able to close your account 	A31A4YKVSOYRVS	
I just placed my order . Can I add another item to it	I do not know if you can add another item to an existing order 	A2D0IIX70FDQIW
What are some of the benefits for APC volunteers 	I do not know what the benefits are for APC volunteers 	A3LA5P3N3KI8U7
What records does the Occupational Safety and Health Administration -LRB- OSHA -RRB- require an employer to keep 	I do not know what records the Occupational Safety and Health Administration -LRB- OSHA -RRB- requires an employer to keep 	A2HKTM4Z8652
Can I change my award ticket 	I do not know if you can change your award ticket 	A13GUTDMGGZZDL
Can I request a quote 	I do not know if you can request a quote 	A31A4YKVSOYRVS	
What is the difference between Leave Without Pay -LRB- LWOP -RRB- and Absence Without Approved Leave -LRB- AWOL -RRB- 	I do not know the difference between Leave Without Pay -LRB- LWOP -RRB- and Absence Without Approved Leave -LRB- AWOL -RRB- 	A30YFEIPGXNWJL
What do I need to produce to collect my race pack	I do not know what you need to product to collect your race pack 	A3U0VQ420HIMQ0
Do you have discounts for admission 	I do not know if we have discounts for admission 	A2HKTM4Z8652
What is your opening hours 	I do not know our opening hours 	A2IXBTOWQRCLPZ	
What training is available in PiMS 	I do not know what training is available in PiMS 	A1AF392CLGHH0X
What employer actions are prohibited by the Occupational Safety and Health Administration -LRB- OSHA -RRB- 's Whistleblower Statute 	I do not know anything about the Occupational Safety and Health Administration Whistleblower Statute 	A2K9PB0U45O0MU
When is the best time to visit 	I do not know when the best time to visit is 	AI3HPZQC9GMBY
When applying for a US passport renewal , will my old passport be returned to me 	I do not know if your old passport will be returned to you when applying for a US passport renewal 	A2EJ7U3TZAKROG
Should employers use questionnaires or computer software to sort through online job applications 	I do not know if employers should use questionnaires or computer software to sort through online job applications 	A3RD486RQUI2XV
What kind of dance flooring is used 	I do not know what kind of dance flooring is used	APF1EAZT104LQ
Can I lawfully terminate an employee for Absenteeism	I do not know if you can lawfully terminate an employee for absenteeism 	A13GUTDMGGZZDL
How long do I have to return an item 	I do not know how long you have to return an item 	AD9O852KPYLHY	
May I take photographs 	I do not know if you can take photographs 	A13GUTDMGGZZDL
What is the credit card number you have in my file 	I do not know what credit card number is on your file 	A3722NOMVUK89T	
What exactly does the warranty cover 	I do not know what the warranty covers 	AE9M4Z1NCYSDM	
Where on the bill does it show my device payment line credits and charges 	I do not know where on the bill it shows device payment line credits and charges 	A2ZBJWQ9ZZHYYI
Can you reduce shipping by removing the packaging of the item 	I am not able to reduce shipping by removing the packaging of the item 	AQLHX3G8KP4TS
How long will it take for my package to arrive 	I do not know how long it will take for your package to arrive 	A3SSJNH5SIZUPG	
I changed to the commercial version of hulu but some shows have more commercials than others , why is that 	I do not know why the commercial version of hulu has some shows with more commercials than others 	AE9M4Z1NCYSDM	
I need to put a lot of new info into my account , can you do it for me or do I have to type it all in online 	I am not able to do it for you	A23CTGXNDDW5LC	
How do I reprint my tickets 	I do not know how you reprint your tickets	A23CTGXNDDW5LC
Do provisions of the federal tax law such as section 66 -LRB- treatment of community income -RRB- and section 469 -LRB- i -RRB- -LRB- 5 -RRB- -LRB- $ 25,000 offset for passive activity losses for rental real estate activities -RRB- that apply to married taxpayers apply to registered domestic partners 	I do not know if provisions of the federal tax law such as section 66 -LRB- treatment of community income -RRB- and section 469 -LRB- i -RRB- -LRB- 5 -RRB- -LRB- $ 25,000 offset for passive activity losses for rental real estate activities -RRB- that apply to married taxpayers apply to registered domestic partners 	AJ7E01X4TAGHL
Will an invoice be included with my order 	I do not know if an invoice will be included 	A3722NOMVUK89T
Am I allowed to fly with a hedgehog in cabin 	I do not know if you are allowed to fly with a hedgehog in cabin 	A3GNQDFPZALU92	
Can I bring my class or camp group for a visit 	I do not know if you can bring your class or camp group for a visit 	A3RD486RQUI2XV
Can I bring my car club 	I do not know if you can bring your car club 	A1X3SF2W1QQBY1
What is the Gift Shop 's return policy 	I do not know the Gift Shop 's return policy 	A7SXWHGK8B40R
Will my return shipping cost be deducted from my refund 	I do not know if your return shipping cost will be deducted from your refund 	ASFR82SJYMGNU
Do you have any deals going on right now 	I do not know if we have any deals going on right now 	A31A4YKVSOYRVS	
How do I set up an online bridal registry 	I am not able to tell you how to set up an online bridal registry 	AE9M4Z1NCYSDM	
Be Prepared for Changing Weather	I am not able to be prepared for changing weather 	A3EJ2U51X7CLYW
How many items does the curated box come with 	I do not know how many items the curated box comes with	AYJGJAIY0EXW
Is there anywhere indoors to eat our picnic 	I do not know if there is anywhere indoors to eat your picnic 	A355BVFIOODRH2
Will I enjoy this tour even if I 'm not a country music fan 	I do not know if you will enjoy this tour even if you 're not a country music fan 	A9LX66EQWDRQ5
Does ICE 's policy sensitive locations policy remain in effect 	I do not know if ICE 's policy sensitive locations policy remain in effect 	A1J0GU26323WVA
Can you please cancel my order 	I am not able to cancel your order 	AE9M4Z1NCYSDM	
Where do we meet if we already have tickets 	I do not know where you meet if you already have tickets 	A1J0GU26323WVA
What if I have operations in multiple states 	I do not know what if you have operations in multiple states 	A3SS1F4F3JE7CU
How do I book a place on the Zoo Academy 	I do not know how you book a place on the Zoo Academy 	A16VTK6KZ1U69H
Can I use multiple coupons 	I do not know if you can use multiple coupons 	A31A4YKVSOYRVS	
What is the Subaru Guaranteed Trade-In Program 	I do not know what the Subaru Guaranteed Trade-In Program is 	A13GUTDMGGZZDL
How do I access XFINITY WiFi 	I do not know how you access XFINITY WiFi 	A2NI2HSU84PHJW
Does the number of travelers I choose limit my fare choices 	I do not know how the numbers of travelers you choose limits your fare choices 	A13GUTDMGGZZDL
Can I bring my dog/pet 	I do not know if you can bring your dog/pet 	A3RD486RQUI2XV
Are ZOOZIL EBOOKS compatible with other EREADERS	I do not know if Zoozil ebooks are compatible with other ereaders 	A31JM9RECQGYEX
Can you please reactivate my account 	I am not able to reactivate your account 	AD9O852KPYLHY	
I Have An Idea For A NYMCER Program , Who Should I Contact 	I do not know who you should contact 	A13GUTDMGGZZDL
Who do I call to stop telemarketing calls 	I do not know who you call 	A1F46RJTOXQM4J
Can I transfer miles to someone else 	I do not know if you can transfer miles to someone else 	A9LX66EQWDRQ5	
Who operates the Web site 	I do not know who operates the Web site 	A2NI2HSU84PHJW
Can I add insurance or other equipment protection options for a device I purchased under a device payment agreement 	I do not know if you can add insurance or other equipment protection options for a device I purchased under a device payment agreement 	A2NI2HSU84PHJW
How much is general admission , and what does it include 	I do not know how much general admission is , or what it includes 	AISE949ZZN8HA
I 'd like to close my account please 	I am not able to help you close your account 	A398I2WV28FA5P	
How do I get on your mailing list 	I do not know how you get on our mailing list	A23CTGXNDDW5LC	
Are there plenty in stock or can I wait a week 	I do not know if there are plenty in stock or if you can wait a week 	ASFR82SJYMGNU
I am a classroom teacher/homeschool educator who likes to bring my students to the museum for field trips and education programs . How does the admission impact our visits 	I do not know how the admission impacts your visits 	A7SXWHGK8B40R
Do I need a partner 	I do not know if you need a partner 	A3RD486RQUI2XV
Does the museum have a cloakroom/lockers -LRB- where can I leave my bags -RRB- 	I do not know if the museum has a cloakroom/lockers where you can leave your bags 	A3R71HP45TBQ7O
I am filing my 2016 U.S. tax return from a foreign country and am eligible for the automatic 2-month extension . Does the IRS need to receive my return by June 15 , 2017 , or can it just be postmarked by June 15 , 2017 	I do not know if the IRS needs to receive your return by June 15 , 2017 	A2NI2HSU84PHJW
Is there any way I can get an extension on my bill 's due date 	I do not know if there is any way you can get an extension on your bill 's due date 	A31A4YKVSOYRVS	
Will my insurance rates go up if I get into an accident 	I do not know if your insurance rates will go up if you get into an accident 	A2IXBTOWQRCLPZ	
What do I need to know about driving off road in national parks 	I do not know about driving off road in national parks 	A1XNCA1SVTT15B
When can I expect my package to arrive 	I do not know when you can expect your package to arrive 	AE9M4Z1NCYSDM	
Where do I go for classes 	I do not know whre you go for classes 	A13GUTDMGGZZDL
Do I need anything besides a Minecraft : Education Edition license to play 	I do not know if you need anything additional 	A3LA5P3N3KI8U7
How do I remove my drawer	I do not know how you remove your drawer 	A16VTK6KZ1U69H
What is my discount 	I do not know your discount 	A7SXWHGK8B40R
Are registered domestic partners each entitled to half of the credits for income tax withholding from the combined wages of the registered domestic partners 	I do not know if registered domestic partners are each entitled to half the credits for income tax withholding from the combined wages of the registered domestic partners 	A1JBSFXMMRGSQD
Do you have the item I want in my size 	I do not know if we have the item you want in your size 	A325WS381BHOHH	
Explain to me the benefits of your current membership program 	I am not able to explain the benefits of your current membership program 	ASFR82SJYMGNU
How do I find out how much has been paid for member 's Medicaid services 	I do not know how you find out how much has been paid for member 's Medicaid services 	AFS36YMNN8A2J
Do you provide a discount for educators 	I do not know if we provide a dicount for educators 	AD9O852KPYLHY	
Where do I file a civil case 	I am not able to give you specific details about civil cases 	A1YCGICA8XCNBH
