It says it was delivered but nothing has arrived yet . Where is it 	I do not know where it is 	A1YKWG46AWMPUX	
What time is the last tour 	I do not know the time of the last tour	A1CMT9MVUO52VP
I renewed my membership ; why am I still receiving notices 	I do not know why you are still receiving notices 	A2NI2HSU84PHJW
I want to receive three meals a week in my subscription instead of two , can you update this 	I am not able to update this so you receive three meals a week in your subscription instead of two 	A3GNQDFPZALU92	
Is there a cancellation fee 	I do not know if there is a cancellation fee 	A31A4YKVSOYRVS	
What documentation I require when I pick up my order and is there is any fee 	I do not know what documentation is required when you pick up your order 	3M0556243SCJMZSHKAQ6XMWOCLENFO
What is Multi-factor authentication 	I do not know what Multi-factor authentication is 	A2K9PB0U45O0MU
Is smoking allowed in the Zoo 	I do not know if smoking is allowed in the Zoo 	A2HKTM4Z8652
I ordered a box of tea with my other stuff . It 's on the receipt in the box , but there 's no tea . Can you send it to me 	I am not able to send the tea to you 	3PR3LXCWSFRFXJF8JUDNLS1BB1U9X3
Do we receive Blue Credits for every business flight 	I do not know if you receive Blue Credits for every business flight 	A1JBSFXMMRGSQD
Can I get the same product but with a higher thread count 	I do not know if you can get the same product but with a higher thread count 	AE9M4Z1NCYSDM	
Can you send me more information in the mail 	I am not able to send you more information in the mail	A23CTGXNDDW5LC
Do I need to enter my member number to buy tickets at the member price 	I do not know if you need to enter your member number to buy tickets at the member price 	A3E3J27LF4OX9M
Can you reset my signal from there or will you send someone out 	I am not able to reset my signal from here 	AJQGWGESKQT4Y
Do you have any non toxic pool cleaning supplies 	I do not know if we have any non toxic pool cleaning supplies 	A3U6CLX7HD0SMF	
If I move will my rate change 	I do not know if your rate will change if you move 	A31A4YKVSOYRVS	
I 've been thinking about a late vacation this year . Are there any off-season hotel deals for October 	I do not know if there are any off-season hotel deals 	3D1TUISJWISGRGEGIJ8DEE1A09ZUIE
How far back do the used cars go 	I do not know how far back the used cars go 	A3U0VQ420HIMQ0
What is the best way into The Zoo Amphitheatre and where can I park 	I do not know the best way into The Zoo Amphitheatre or where you can park 	A2K9PB0U45O0MU
I 'd like to modify my order to include another item , is it to late for me to do so before the package is shipped out 	I am not able to modify the order prior to the package shipping to you 	307FVKVSYR7KLY35KMDYALD7NG174A
Can I purchase a Museum Card at the Stedelijk Museum 	I do not know if a museum card can be purchased at the Stedelijk Museum 	A3U6CLX7HD0SMF
What should I do to apply for the membership 	I am not able to tell you how to apply for the membership 	AE9M4Z1NCYSDM	
I ordered the G5000 model but got the g45 model , how do I exchange it 	I do not know how to exchange the g45 model for the G5000 model 	A3GNQDFPZALU92	
The pair of shoes I bought is actually two left shoes 	I do not know why the shoes you bought are two left shoes 	A31A4YKVSOYRVS	
Can I change my orders shipping address 	I do not know if you can change your shipping address for orders 	A3U6CLX7HD0SMF	
When is the best time to schedule a visit 	I do not know when the best time to schedule a visit is 	A2VFX3J4B1I22X
What 's the reason for this extra charge on my bill 	I do not know the reason for the extra charge on your bill 	AJNQ2PBD07FKE
My order says it was delivered but I have not received it , why 	I do not know why you have not received your order 	AD9O852KPYLHY	
My passport has been issued more than 10 years ago , but has been extended , can I apply for a Visa	I do not know if you can apply 	A1DWQO9X2ZQ35G
Has my prescription been filled yet 	I do not know if your prescription has been filled yet 	A1JBSFXMMRGSQD
How do I purchase an upgrade 	I do not know how you would purchase an upgrade	A3LNWUYXJH1EUC
Is there a cancellation policy 	I do not know if there is a cancellation policy 	A13GUTDMGGZZDL
I lost my membership card , how do I get a new card 	I do not know how to get a new membership card 	A10249252O9I20MRSOBVF
I have called you several times and I am not getting the answers I need . Can I please speak with your supervisor 	I am not able to let you speak with my supervisor at this time 	34F34TZU7WR32FPKHHJ7KWLIUX52JG
I 'm not able to log into my account using my normal email address and password . Can you help me with getting access to my online account 	I am not able to help you access your account 	386T3MLZLNN7MOQNBQI2CIJPHOR08A
Is there some way for me to change my flight to a later time ? I will be making my way there at another date	I am not able to change your flight to a later time 	3VZYA8PITOQOZ67LDSBZ0Y9YFYQ058
Should the washing machine be shaking ? I need that guy back out here , please 	I do not know if the washing machine should be shaking	30UZJB2POH4KGY6IWFTI2W75IAA356
Where do I go to file my case for Child Support 	I do not know where to go to file your child support case 	A1L1IRHUNKLN01
Can I really learn to dance 	I do not know if you can learn to dance 	A3G2FBKYCRD5Q8
What are the penalties for not posting a required federal poster 	I do not know the penalties for not posting a required federal poster 	A1X3SF2W1QQBY1
What considered excessive wear and use 	I do not know what is considered excessive wear and use 	A2NI2HSU84PHJW
I 've changed my maiden name and would like my account to reflect that 	I am not able to make your account reflect that change 	A185P3B2MC2K83
Does the hospital offer any spiritual care of services 	I do not know does the hospital offer any spiritual care of services 	A3SS1F4F3JE7CU
How do I sign up for your mailing list 	I do not know how you sign up for our mailing list 	A260AFDCSXBQOH
Can you help me find a good place to take a group of 10 people for dinner in Austin ? I need it to be semi-quiet so we can talk over food 	I am not able to to help you find a place 	3X0EMNLXEPH8LHQK0482JX450U3PVA
How is overtime determined for prior pay period corrections 	I do not know how overtime is determined for prior pay period corrections 	A2TP3K1THK6XRB
Can I use gps to track my lost phone 	I do not know if you can use gps to track your lost phone 	ARCNENCVA0STW	
WHAT IS THE COST OF ADMISSION TO MUSEUM	I do not know the cost of the admission to the museum 	A2LQ9NP944M61Z
Can you include a catalog with the new shipment 	I am not able to include a catalog with the new shipment 	A1D9EH4NAAP40N
How long is the warranty good for 	I do not know how long the warranty is good for 	A9LX66EQWDRQ5	
Is the loss on the sale of my home deductible 	I do not know if the loss on the sale of your home is deductible 	A2NI2HSU84PHJW
How do bivalve shellfish reproduce 	I do not know how bivalve shellfish reproduce 	A1IPD4WBT3A5GG
I want to amend my current order , can you help 	I am not able to amend your current order 	A3RD486RQUI2XV
How do I tell if my computer can run a 64-bit version of Windows 	I am not able to tell if your computer can run a 64-bit version of Windows 	A1IMICF9ISISZN
Will I get a membership ID card 	I do not know if you will get a membership ID card 	A2NI2HSU84PHJW
Can I amend my order 	I do not know if you can amend your order 	A116N2LEI6O7HB
Who is eligible for Student pricing 	I do not know who is eligible for Student pricing 	A3U6CLX7HD0SMF
Wuksachi Lodge - No Elevators	I do not know if Wuksachi Lodge has no elevators 	APC99TPURUHR8
Is photography permitted in the galleries 	I do not know if photography is permitted in the galleries 	A3CL6GEDFNQGQY
What accommodation is available 	I do not know what accommodation is available 	A1JBSFXMMRGSQD
What type of a Schengen visa do I need 	I do not know what type of a Schengen visa you need 	A2HKTM4Z8652
When will I receive my Lawn Pass	I do not know when you will receive your lawn pass 	AZLZA0Q87TJZO
Can I pay with a visa gift card	I do not know if you can pay with a Visa gift card 	A1F04SJJSSWA1N
What locations are open	I do not know what locations are open 	A3MBQX8F0IZO7S
I would like to update my existing residential address information on your records	I am not able to help you with updating your existing residential address information on our records	AYJGJAIY0EXW
What are the Healey brothers parking lot guidelines	I do not know the Healy Brothers parking lot guidelines 	A8O98QNRG9SHV
When can my daughter expect to go on ' pointe '	I am not able to tell you when your daughter can expect to go on ' pointe '	A1JBSFXMMRGSQD
How will the Central City 2035 Plan for downtown affect the site 	I do not know how the Central City 2035 Plan for downtown will affect the site	ATQD23E8ESFSI
How many service agents will be available at my time of pick up 	I do not know how many service agents will be available at your time of pick up 	A3GNQDFPZALU92	
What does it mean when a job shows a closing date of ' continuous ' 	I do not know what it means when a job shows a closing date of ' continuous ' 	A2NI2HSU84PHJW
I keep getting calls from your pharmacy that my prescription is ready , but I do n't think I have any that I have called in lately . Could you check and see what is going on , please 	I am not able to check 	386659BNTL9PBO62C59NX8WH3IL01Q
